DISCIPLINE,PO WORK TYPE,PO NO,PO SUBJECT,PO DATE,PO REVISION,PO VEND NAME,ITEM COUNT,PO CDD,PO DESTINATION,BUYER,EXPEDITOR,PDF FLAG,REMARKS
PIPING,Main Work,P-BIFP-PP09-106-A,PIPING BOLTS AND NUTS,21-NOV-18,0,PRESSBOLT MIDDLE EAST ,11,30-Apr-2019,BIFP Project Site ,Rashid,Shabaz,N,
PIPING,,P-BIFP-PP09-106-B,PIPING BOLTS AND NUTS,18-DEC-18,A,TRI STAR MIDDLE EAST,585,30-May-2019,CPECC Bab Project Warehouse,,Shabaz,N,
PIPING,Main Work,P-BIFP-PP10-042,SPRING HANGER SUPPORTS,01-APR-19,0,PIPE HANGERS & SUPPORTS PRIVATE LIMITED,27,07-Aug-2019,Abu Dhabi Sea Port,,Shabaz,N,
PIPING,Main Work,P-BIFP-PP12-44,GRE PIPING BULK,13-NOV-18,0,FUTURE PIPE INDUSTRIES LLC,255,28-Apr-2019,Bab Project Site,Rashid,Rana Abhishek,N,
PIPING,,P-BIFP-PP13-108A,CARBON STEEL SEAMLESS PIPE,05-AUG-18,A,Pipetech International Equip L.L.c,208,15-Dec-2018,Abu Dhabi Sea Port,,Bhavin,N,
PIPING,Main Work,P-BIFP-PP13-108B,CARBON STEEL WELDED PIPE,05-AUG-18,A,Arabian Pipeline Supply FZCO  UAE,7,15-Dec-2018,Ras Al Khaimah UAE (APS Facility),Guo,Bhavin,N,
PIPING,Main Work,P-BIFP-PP14-109A,CLADDED PIPES  FITTINGS & FLANGES ,28-SEP-18,A,Cangzhou Longtaidi Pipe Technology Co.  Ltd,253,20-Jun-2019,Abu.Dhabi Sea Port,Miao,Rashid,N,
PIPING,Main Work,P-BIFP-PP14-109B,CLADDED PIPES  FITTINGS & FLANGES ,28-SEP-18,A,Roc-Master Piping Solutions Ltd ,194,30-May-2019,Abu.Dhabi Sea Port,Miao,Rashid,N,
PIPING,Main Work,P-BIFP-PP16-111-A,PIPING SPIRAL WOUND / RTJ GASKETS,13-NOV-18,A,Klinger Middle East Gasket Factory LLC,549,20-Mar-2019,BAB PROJECT SITE,Rashid,Shurjeel,N,
PIPING,Main Work,P-BIFP-PP16-111-B,INSULATING GASKETS,13-NOV-18,A,GOODRICH GASKET PRIVATE LIMITED ,89,06-Apr-2019,Abu Dhabi Sea Port,Rashid,Shabaz,N,
PIPING,Main Work,P-BIFP-PP17-112,Mechanical Key Interlocks,28-NOV-18,0,Universal Technical L.L.C / ALCATRAZ,97,29-Jul-2019,BIFP Site Abu Dhabi  UAE,Khurram Sultan,Khurram,N,
PIPING,Main Work,P-BIFP-PP18-113,Quick Couplings and Flexible Hoses,25-OCT-18,0,Gaytri Industrial Corporation,1506,31-Jan-2019,JNPT/NHAVA Sheva Port  India,Shurjeel Rehman,Shabaz,N,
PIPING,,P-BIFP-PP20-115A-VO-001,Carbon Steel Fittings,15-AUG-18,A,Jiangyin Zhongnan Heavy Industries CoLtd,1324,30-Mar-2019,Abu Dhabi Sea Port,,Rashid,N,
PIPING,,P-BIFP-PP20-115B-VO-001,Solid CRA and SS & SDSS Fittings,15-AUG-18,A,Jiangyin Tianning Metal Pipe Fitting CO. LTD,328,30-Mar-2019,Abu Dhabi Sea Port,,Rashid,N,
PIPING,Main Work,P-BIFP-PP21-116-01,Solid CRA Flanges,29-AUG-18,A,Officine Ambrogio Melesi & C. S.R.L  ,212,28-Feb-2019,Cortenova   Italy,Wei,Rana Abhishek,N,
PIPING,Main Work,P-BIFP-PP21-116-02,CS SS&SDSS Flange,01-SEP-18,A,Officine Nicola Galperti & Figlio Spa  ,622,31-Dec-2018,GERA LARIO ITALY,Wei,Rana Abhishek,N,
PIPING,Main Work,P-BIFP-PP22-117-VO-001,Solid CRA Pipes,30-AUG-18,0,Tubacex Tubos Inoxidables SAU  Spain.,41,05-Feb-2019,Abu Dhabi Port,Rashid,Rana Abhishek,N,
PIPING,,P-BIFP-PP23-118-VO-001,SS & SDSS PIPES ,09-AUG-18,A,Zhejiang Tsingshan Steel Pipe ,23,30-Mar-2019,Abu Dhabi Sea Port,,Rashid,N,
PIPING,Main Work,P-BIFP-PP24-119,Trap Drains,31-OCT-18,A,CDB ENGINEERING S.P.A.,15,11-Mar-2019,Genoa Port - Italy,Shurjeel Rehman,Shurjeel,N,
PIPING,Main Work,P-BIFP-PP29-158,Needle Valves,15-MAY-19,0,Havi Engineering India Pvt Ltd,20,31-Jan-2020,,Abdul Salam,Shabaz,N,
PIPING,Main Work,P-BIFP-PP30-161,COPPER-NIKEL ALLOY BULK ITEMS,01-OCT-19,0,PM Piping Petroleum Equipment-Sole Proprietorship L.L.C,26,31-Dec-2019,,,RASHID,N,
STRUCTURE,Main Work,BIFP-P-2018084,STEEL STRUCTURE SUPPLY AND FABRICATION,27-AUG-18,0,TIGER STEEL ENGINEERING .LL.C,5844,*,BIFP SITE,,,N,
STRUCTURE,Pre Work,LPO-BIFP-073,Steels Plates,03-SEP-18,0,OWG Group FZE,5,03-Oct-2018,CPECC Abu Dhabi Project Site,RAMVEER,RAMVEER,N,
STRUCTURE,Main Work,P-BIFP-FCC-2018-080,SUPLLY OF STEEL STRUCTURE,10-AUG-18,0,AL SHAFAR STEEL ENGINEERING L.L.C,7177,10-Aug-2019,,,,N,
TELECOM,,LPO-BIFP-070-VO-001,Telecom Bulks - Pre works,20-NOV-18,A,Extol International LLC,99,05-Dec-2018,BIFP Site,RASHID,RAMVEER,N,
TELECOM,Pre Work,LPO-BIFP-071,FO CABLES,03-OCT-18,A,M/s Intelligent Telecommunication Systems LLC,12,30-Oct-2018,BAB PROJECT SITE,NAN,NAN,N,
TELECOM,Pre Work,LPO-BIFP-110,UPVC Straight Connector,20-DEC-18,0,Extol International LLC,2,24-Dec-2018,,PAVIN FRANCIS,PAVIN FRANCIS,N,
TELECOM,,LPO-BIFP-117,UPVC Pipe & PVC Pipe and Pipe Cap,07-JAN-19,A,Extol International LLC,13,13-Jan-2019,BIFP SITE,PAVIN FRANCIS,PAVIN FRANCIS,N,
TELECOM,,P-BIFP-TL01-102,Telecom Systems,30-JUL-18,A,ABB Automation LLC,154,15-Jul-2020,,,Kashif,N,
TELECOM,Main Work/Pre Work,P-BIFP-TL02-127,Fiber Optic Cables,10-SEP-18,0,ZTT International Limited,80,15-Dec-2018,Shanghai Port,Nan Xiangpeng,Rajesh,N,
TELECOM,Main Work,P-BIFP-TL03-025,Telecom Towers,05-SEP-18,0,Al-Babtain Middle East For Installation of Telecommunication System L.L.C,70,23-Jun-2019,BIFP Job Site,Shurjeel Rehman,Shurjeel,N,
TELECOM,Main Work,P-BIFP-TL04-146,Fiber Optic Leak Detection System,20-DEC-18,1,Optilan Middle East DMCC,103,15-Jun-2019,Abu Dhabi Sea Port,Kashif,Kashif,N,
TELECOM,Main Work,P-BIFP-TL05-147,Telecom Cables,04-MAR-19,0,Ramcro SPA,88,30-Jun-2019,Abu Dhabi Sea Port,,Abdul Salam,N,
TELECOM,Main Work,P-BIFP-TL06-157,TELECOM Bulk,07-APR-19,0,Customer Delight Trading,43,25-Jul-2019,BIFP Project Site,,Abdul Salam,N,
