DISCIPLINE,PO WORK TYPE,PO NO,PO SUBJECT,PO DATE,PO REVISION,PO VEND NAME,ITEM COUNT,PO CDD,PO DESTINATION,BUYER,EXPEDITOR,PDF FLAG,REMARKS
INSTRUMENTATION,Main Work,P-BIFP-IC08-081,Shutdown Valves,05-AUG-18,0,Emerson Process Management Distribution Limited,165,01-Apr-2019,India-Mumbai Port/Italy-Genova Port,Xu Chao,Rana Abhishek,N,
INSTRUMENTATION,,P-BIFP-IC09-076,Integrated Control And Safety System (ICSS),30-JUL-18,A,ABB Automation LLC,371,15-Jul-2020,,,Kashif,N,
INSTRUMENTATION,Main Work,P-BIFP-IC10-082,PRESSURE SAFETY VALVE / THERMAL SAFETY VALVE,12-SEP-18,0,Global Engg. Solution Fzco (Bliss Anand Pvt Ltd),154,05-May-2019,Vendor's Works India(Bawal Haryana),Shurjeel Rehman,Shurjeel,N,
INSTRUMENTATION,Main Work,P-BIFP-IC11-083,Multiphase Flow Meters,31-JUL-18,A,Haimo International FZE,30,20-Apr-2019,Abu Dhabi Sea Port,Xu Chao,Abdul Salam,N,
INSTRUMENTATION,Main Work,P-BIFP-IC12-084,ANALYZERS,05-JAN-19,0,Aber Ahmed Equipment Est,14,30-Sep-2019,BIFP Site,Abdul Salam,Abdul Salam,N,
INSTRUMENTATION,,P-BIFP-IC13-085-VO-001,Rotameters,14-AUG-18,0,KROHNE Messtechnik GmbH,483,22-Aug-2019,Abu.Dhabi Sea Port,Abdul Salam,Abdul Salam,N,
INSTRUMENTATION,Main Work,P-BIFP-IC14-086,V-Cone Flowmeter,01-OCT-18,0,Emphor Trading LLC,6,25-Mar-2019,BIFP Project Site,Abdul Salam,Abdul Salam,N,
INSTRUMENTATION,Main Work,P-BIFP-IC15-087,Field Instruments (PG TG DPG),27-NOV-18,0,Al Badri Traders Co LLC,2146,11-Jun-2019,BIFP Project Site,Abdul Salam,Abdul Salam,N,
INSTRUMENTATION,Main Work,P-BIFP-IC16-088,FIELD INSTRUMENTS (PT  DPT  LT  FT),15-NOV-18,0,Emerson Process Management Distribution Limited,1907,13-Jun-2019,BIFP Site,,Abdul Salam,N,
INSTRUMENTATION,Main Work,P-BIFP-IC17-089,Temperature Transmitter (TT/TE/TW),14-OCT-18,0,Gulf Commercial Group,165,02-Mar-2019,BIFP Project Site,Abdul Salam,Abdul Salam,N,
INSTRUMENTATION,,P-BIFP-IC18-090,MOV-Ball  Valves,30-AUG-18,A,M/s Valvitalia S.P.A – Vitas Division,797,10-Jun-2019,Rivanazzano  Italy,,Bhavin,N,
INSTRUMENTATION,,P-BIFP-IC19-091,MOV-Gate/Globe Valves,24-AUG-18,A,NEWAY FLOW CONTROL DMCC,91,22-Feb-2019,China-Shanghai Port,,Abdul Salam,N,
INSTRUMENTATION,Main Work,P-BIFP-IC20-092,Orifice Plate & Restriction Orifice Plate,11-DEC-18,0,WIKA Middle East FZE,167,30-Jul-2019,BIFP Site,Abdul Salam,Abdul Salam,N,
INSTRUMENTATION,Main Work,P-BIFP-IC21-093,Level Transmitters,25-DEC-18,0,DAFF Trading & Oil Services Est.,106,30-Aug-2019,Jabel Ali,Abdul Salam,Abdul Salam,N,
INSTRUMENTATION,,P-BIFP-IC22-094,Venturi Tube,27-SEP-18,0,WIKA Middle East FZE,2,15-Mar-2019,Cremona(Italy),Abdul Salam,Abdul Salam,N,
INSTRUMENTATION,Main Work,P-BIFP-IC23-095,Flow Transmitters-Ultrasonic,27-SEP-18,0,Gulf Commercial Group,14,15-Apr-2019,BIFP Project Site,Abdul Salam,Abdul Salam,N,
INSTRUMENTATION,Main Work,P-BIFP-IC24-096,Level Gauges,09-SEP-18,0,PRIME MIDDLE EAST GENERAL CONTRACTING LLC,227,30-May-2019,BIFP Project Site,Abdul Salam,Abdul Salam,N,
INSTRUMENTATION,Main Work/Pre Work,P-BIFP-IC25-043,Instrument Cables,31-OCT-18,A,KEI Industries Ltd.,103,15-Jun-2019,Abu Dhabi Sea Port,Nan,Rajesh,N,
INSTRUMENTATION,Main Work,P-BIFP-IC26-097,Flow Transmitter - Turbine Type,05-NOV-18,0,Metering & Technology SAS,116,30-Jun-2019,Abu-Dhabi Sea Port,Abdul Salam,Abdul Salam,N,
INSTRUMENTATION,Main Work,P-BIFP-IC27-098,BFAS & HSSD,18-DEC-18,A,Safco Engineering S.p.A.,211,30-Apr-2019,,Pavin,Shurjeel,N,
INSTRUMENTATION,Main Work,P-BIFP-IC29-156,FACP MODIFICATION,04-MAR-19,0,TYCO FIRE AND SECURITY UAE  L.L.C.,4,10-Jul-2019,Bab Site,Pavin,Shurjeel,N,
INSTRUMENTATION,Main Work,P-BIFP-IC30-135-01,SCADA Modification,24-OCT-18,A,Schneider Electric Systems Middle East FZE,3,01-Mar-2019,BIFP Project Site,Fritz,Rajesh,N,
INSTRUMENTATION,Main Work,P-BIFP-IC30-135-02,SCADA Modification,31-OCT-18,A,Electro Mechanical Co. L.L.C. ,4,15-Mar-2019,BIFP Project Site,Fritz,Rajesh,N,
INSTRUMENTATION,Main Work,P-BIFP-IC32-26,VACUUM SAFETY VALVE AND PRESSURE SAFETY VALVE,20-AUG-18,0,Abu Dhabi Oilfield Services Company – ADOS L.L.C.,40,19-Aug-2019,Abu Dhabi Sea Port,Shurjeel Rehman,Shurjeel,N,
INSTRUMENTATION,Main Work,P-BIFP-IN01-153A,Instrumentation Cable Trays and Accessories,30-APR-19,0,R&M SN Electrical FZCO,119,20-Oct-2019,,,Shurjeel,N,
INSTRUMENTATION,Main Work,P-BIFP-IN01-153B,Tubes  Fittings and Miscellaneous Instrument Bulks,08-MAY-19,0,Extol International FZC,341,15-Dec-2019,,,Abdul Salam,N,
MECHANICAL ROTATING,Main Work,P-BIFP-MR-01-012,MOL & Booster Pump,15-JUL-18,0,Ruhrpumpen GmbH,5,29-Apr-2019,Hamburg Port Germany,Khurram Sultan,Khurram,N,
MECHANICAL ROTATING,Main Work,P-BIFP-MR02-13,PROCESS CENTRIFUGAL PUMPS,10-JUL-18,0,ITT Corporation India Pvt. Ltd.,31,01-Sep-2019,[ITT India – Vadodara(Gujarat) facility],Shurjeel Rehman,Shurjeel,N,
MECHANICAL ROTATING,Main Work,P-BIFP-MR03-14,Garo Dott. Ing. Roberto Gabbioneta S.p.A,05-MAY-18,A,Garo Dott. Ing. Roberto Gabbioneta S.p.A,21,02-Dec-2019,Named Sea Port Italy / Malaysia,Khurram Sultan,Khurram,N,
MECHANICAL ROTATING,Main Work,P-BIFP-MR04-019,Surface Water Injection Pumps,06-JUN-18,A,Ali & Sons Oil Field Supplies & Services Company - Sole Proprietorship. L.L.C / Sulzer Pumps Middle ,9,31-Aug-2019,Project Site Abu Dhabi,Khurram Sultan,Khurram,N,
MECHANICAL ROTATING,Main Work,P-BIFP-MR05-20,Double Diaphragm Pumps,30-MAY-18,A,LEWA GMBH,46,21-May-2019,Germany/ North sea International Port,Shurjeel Rehman,Shurjeel,N,
MECHANICAL ROTATING,Main Work,P-BIFP-MR08-29,EOT CRANES,30-JAN-19,A,Stahl Cranes,7,31-Aug-2019,Jabel Ali,Khurram Sultan,Khurram,N,
MECHANICAL ROTATING,Main Work,P-BIFP-MR09-030,MANUAL CHAIN HOISTS,28-FEB-19,0,Stahl Cranes,5,30-Jun-2019,,,Kaushik,N,
MECHANICAL ROTATING,Main Work,P-BIFP-MR10-027,Vertical Centrifugal Pumps (VS4,06-JUN-18,A,Ali & Sons Oil Field Supplies & Services Company - Sole Proprietorship. L.L.C / Sulzer Pumps Middle ,26,06-Jun-2019,BAB PROJECT SITE,Khurram Sultan,Khurram,N,
MECHANICAL STATIC,Pre Work,LPO-BIFP-0144,STOCK CS PIPES FOR TANK ACCESSORIES,10-APR-19,0,Arrow Pipes & Fittings Fzco,18,30-Jun-2019,,,RASHID,N,
MECHANICAL STATIC,Pre Work,LPO-BIFP-162,ANGLES & ROD BARS,11-JUL-19,0,NANO GULF OIL FIELD SERVICES LLC,12,15-Aug-2019,BAB PROJECT SITE,RASHID,RASHID,N,
MECHANICAL STATIC,Main Work,P-BIFP-MR06-021,Instrument Air Compressor And Dryer Package,16-JUL-18,0,Kaeser Kompressoren GmbH,160,27-Jun-2019,UAE,Kaushik Kamerker,Abdul Salam,N,
MECHANICAL STATIC,Main Work,P-BIFP-MR07-028,Chemical Injection Skids Package,23-JUL-18,0,TPC FZE,91,27-Aug-2019,BAB Site,Kaushik Kamerker,Fan,N,
MECHANICAL STATIC,Main Work,P-BIFP-MS01-009,Air Cooled Heat Exchanger ,10-MAY-18,A,Dolphin Heat Transfer LLC ,5,10-Jan-2019,Ajman  UAE,Kaushik Kamerker,Shahbaz,N,
MECHANICAL STATIC,Main Work,P-BIFP-MS02-010,SHELL & TUBE HEAT EXCHANGER,16-MAY-18,A,GS ENTEC CORP,12,18-Mar-2019,ULSAN International Sea Port,Jiang Xuemei,Shahbaz,N,
MECHANICAL STATIC,Main Work,P-BIFP-MS03-11,Fired Heater Package,13-JUL-18,0,ITT SpA,11,10-Sep-2019,BAB Site,Khurram Sultan,Khurram,N,
MECHANICAL STATIC,Main Work,P-BIFP-MS04-017,Flare Package  ,06-AUG-18,0,John Zink International Luxembourg S.a.r.l,28,10-Aug-2019,UAE,Kaushik Kamerker,Abdul Salam,N,
MECHANICAL STATIC,Main Work,P-BIFP-MS05-018,Nitrogen Generation Package,15-JUL-18,0,Kaeser Kompressoren GmbH,92,27-Jun-2019,UAE,Kaushik Kamerker,Abdul Salam,N,
MECHANICAL STATIC,Main Work,P-BIFP-MS06-022-01,VESSELS & COLUMNS PACKAGE 1,12-JUN-18,A,FBM-KNM FZCO,7,31-Jul-2019,FBM-KNM’s premise,Jiang Xuemei,Fan,N,
MECHANICAL STATIC,Main Work,P-BIFP-MS06-022-02,VESSELS & COLUMNS PACKAGE 2,12-JUN-18,A,DESCON ENGINEERING FZE,73,31-Jul-2019,Hamriyah Free Zone  Sharjah,Jiang Xuemei,Fan,N,
MECHANICAL STATIC,Main Work,P-BIFP-MS07-136,GRE Tanks Package,14-NOV-18,A,Amiantit Oman Company LLC,27,07-May-2019,BAB PROJECT SITE,Kaushik Kamerker,Shabaz,N,
MECHANICAL STATIC,Main Work,P-BIFP-MS08-024,Pig Traps,12-JUL-18,A,Gulf Island Technical Oilfield Services - GULFTECH,49,15-Mar-2019,VKVC India,Kaushik Kamerker,Bhavin,N,
MECHANICAL STATIC,,P-BIFP-MS08-144,Tank Plates,15-AUG-18,A,TROUVAY & GAUVIN Engineering Supply LLC,61,15-Jan-2019,Abu Dhabi Sea Port,,Rana Abhishek,N,
MECHANICAL STATIC,Main Work,P-BIFP-MS09-152,TANK BLOW OFF HATCH,12-FEB-19,A,Abu Dhabi Oilfield Services Company – ADOS L.L.C.,10,02-Jun-2019,,Shurjeel Rehman,Shurjeel,N,
MECHANICAL STATIC,Main Work,P-BIFP-MS10-160-A,TANK ACCESSORIES ( STRUCTURER & SHELL MANWAYS),01-APR-19,0,NANO GULF OIL FIELD SERVICES LLC,110,30-Jul-2019,BAB PROJECT SITE,RASHID,Rashid,N,
PIPELINE,Main Work,P-BIFP-PL01-01A,SEAMLESS LINE PIPE WITH COATING,19-JUN-18,0,TIANJIN PIPE INTERNATIONAL ECONOMIC & TRADING CORPORATION,58,19-Jun-2018,,,Rajesh,N,
PIPELINE,Main Work,P-BIFP-PL02-002,LSAW LINE PIPE,26-JUN-18,0,PM Piping Petroleum Equipment-Sole Proprietorship L.L.C,8,30-Apr-2019,,,Bhavin,N,
PIPELINE,Main Work,P-BIFP-PL02-005,MATERIAL REQUISITION FOR HOT INDUCTION BENDS,10-JUL-18,0,FTV PROCLAD LLC DUBAI UAE,36,*,,,Bhavin,N,
PIPELINE,Main Work,P-BIFP-PL02-005A,COATING FOR HOT INDUCTION BENDS,12-MAR-19,0,SHAWCOR - BREDERO SHAW INTERNATINAL BV,13,*,,,Rajesh,N,
PIPELINE,Main Work,P-BIFP-PL03-003,CLADDED LINE PIPE,23-MAY-18,0,FTV PROCLAD LLC DUBAI UAE,4,25-Sep-2019,,,Bhavin,N,
PIPELINE,Main Work,P-BIFP-PL07-007,PIPELINE BALL VALVES,29-JUL-18,0,WUZHOU VALVE Co.  Ltd,10,*,,,Abdul Salam,N,
PIPELINE,Main Work,P-BIFP-PL08-031,ISOLATION JOINTS,05-AUG-18,0,MAZOUN TECHINICAL OILFIELD SERVICES CO. LLC,13,*,,,Rana Abhishek,N,
PIPELINE,Main Work,P-BIFP-PL09-032,PIPELINE BARRED TEE,25-JUL-18,0,INDUSTRIA MECCANICA BASSI LUIGI ITALY,17,15-Feb-2019,,,Rana Abhishek,N,
PIPELINE,Main Work,P-BIFP-PL11-100,ANCHOR FLANGES,03-JUL-18,0,TROUVAY & CAUVIN Engineering Supply LLC,9,20-Dec-2018,,,Rana Abhishek,N,
PIPELINE,Main Work,P-BIFP-PL12-101,FIELD JOINT COATING (HEAT SHRINK SLEEVES),16-JUL-18,0,CANUSA-CPS  MIDDLE EAST,71,07-Jan-2019,,,Shahbaz,N,
PIPELINE,Main Work,P-BIFP-PL13-145A,PIPELINE FITTINGS,28-NOV-18,0,EMIRATES FALCON INDUSTRIAL & ENGINEERING SUPPLIES,58,30-Apr-2019,,,Rana Abhishek,N,
